date,market,MACD,Signal Line,MACD Histogram,Signal
2022-03-27,2314.95,63.065552258908156,30.407071658793775,32.65848060011438,1
2022-03-28,2532.72,83.70697623062233,41.067052573159486,42.639923657462845,1
2022-03-29,2524.53,98.27177306053409,52.50799667063441,45.763776389899675,1
2022-03-30,2513.91,107.7158529351309,63.549567923533715,44.16628501159718,1
2022-03-31,2447.29,108.57311377209226,72.55427709324543,36.018836678846824,1
2022-04-01,2540.84,115.47013449880478,81.13744857435731,34.332685924447475,1
2022-04-02,2541.84,119.63765632743934,88.83749012497373,30.80016620246562,1
2022-04-03,2542.84,121.61918874215371,95.39382984840974,26.225358893743973,1
2022-04-04,2526.28,120.46467210135006,100.40799829899781,20.05667380235225,1
2022-04-05,2518.2,117.54276109101829,103.83495085740192,13.707810233616371,1
2022-04-06,2350.43,100.53063410467848,103.17408750685725,-2.643453402178764,-1
2022-04-07,2340.23,85.24272111988603,99.587814229463,-14.345093109576979,-1
2022-04-08,2314.62,70.25062153214367,93.72037568999914,-23.469754157855476,-1
2022-04-09,2315.62,57.783869757904995,86.53307450358031,-28.749204745675314,-1
2022-04-10,2316.62,47.4377380856904,78.71400722000233,-31.27626913431193,-1
2022-04-11,2132.56,24.10834446118406,67.79287466823868,-43.68453020705462,-1
2022-04-12,2110.44,3.791032140432435,54.99250616267744,-51.201474022245,-1
2022-04-13,2198.74,-5.126418049791482,42.96872132018366,-48.09513936997514,-1
2022-04-14,2127.08,-17.771070842134577,30.820762887720015,-48.59183372985459,-1
2022-04-15,2128.08,-27.395558689786412,19.17749857221873,-46.57305726200514,-1
2022-04-16,2129.08,-34.54413966797756,8.433170924179473,-42.97731059215703,-1
2022-04-17,2130.08,-39.67144226151231,-1.1877517129588835,-38.483690548553426,-1
2022-04-18,2149.21,-41.710423583950615,-9.292286087157231,-32.418137496793385,-1
2022-04-19,2214.93,-37.589962527924854,-14.951821375310757,-22.638141152614097,-1
2022-04-20,2193.18,-35.66834816747223,-19.095126733743054,-16.573221433729177,-1
2022-04-21,2178.84,-34.90026457261638,-22.25615430151772,-12.644110271098658,-1
2022-04-22,2109.98,-39.39387127667396,-25.683697696548972,-13.71017358012499,-1
2022-04-23,2110.98,-42.38579822399333,-29.024117802037843,-13.36168042195549,-1
2022-04-24,2111.98,-44.167099413784854,-32.05271412438725,-12.114385289397603,-1
2022-04-25,2123.17,-44.166727418165465,-34.47551678314289,-9.691210635022571,-1
2022-04-26,2011.38,-52.580832237344566,-38.09657987398323,-14.484252363361335,-1
2022-04-27,2026.93,-57.333411998954034,-41.943946298977394,-15.38946569997664,-1
